pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
133.0452,-102.2096,0.0,top,D1,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
145.542,-102.2096,0.0,top,D2,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
158.0388,-102.2096,0.0,top,D3,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
169.8625,-95.3135,180.0,top,D4,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
169.8625,-99.0219,180.0,top,D5,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
169.8625,-102.7176,180.0,top,D6,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,LED,smt
127.7038,-102.2731,0.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R,smt
140.44,-102.2096,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R,smt
152.25,-102.2477,0.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R,smt
165.16,-105.3,180.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R,smt
