Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Colour,Description,Category,DK_Datasheet_Link,DK_Detail_Page,Digi-Key_PN,Family,Manufacturer,Status
C1,1,10uf,C_0805_2012Metric,,,,smt,,,,,,,,,
C2,1,0.1uf,C_0805_2012Metric,,,,smt,,,,,,,,,
C3,1,1uf,C_0805_2012Metric,,,,smt,,,,,,,,,
C4,1,2.2uf,C_0805_2012Metric,,,,smt,,,,,,,,,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",10,Green_LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,Green,,,,,,,,
"D11, D12",2,Red_LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,,,,,,,,,
"D13, D14, D17, D18",4,Blue_LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,,,,,,,,,
"D15, D16",2,Yellow_LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,,,,,,,,,
"R1, R2",2,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,,,,,,,,,
"R10, R9",2,47k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,,,,,,,,,
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R4, R5, R6, R7, R8",17,160,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,,,,,,,,,
R3,1,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,,,,,,,,,
U1,1,BME680,BME680,,BME680,,smt,,SENSOR RH PRESSURE TEMP VOC,"Sensors, Transducers",https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME680-DS001.pdf,/product-detail/en/bosch-sensortec/BME680/828-1077-1-ND/7401321,828-1077-1-ND,Specialized Sensors,Bosch Sensortec,Active
U2,1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,,,,smt,,,,,,,,,
U3,1,AMG8833,SMD-14_Grideye,,AMG8833,,smt,,SENSOR DGTL 14SMD MODULE,"Sensors, Transducers",https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/Grid-EYE_AMG88.pdf,/product-detail/en/panasonic-electronic-components/AMG8833/P19002CT-ND/5825306,P19002CT-ND,Temperature Sensors - Analog and Digital Output,Panasonic Electronic Components,Active
