pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
156.5402,-96.73844,180.0,top,C1,,,C_0805_2012Metric,10uf,smt
156.5402,-99.0854,180.0,top,C2,,,C_0805_2012Metric,0.1uf,smt
152.0952,-96.73844,180.0,top,C3,,,C_0805_2012Metric,1uf,smt
152.0952,-99.0854,180.0,top,C4,,,C_0805_2012Metric,2.2uf,smt
113.9571,-112.4839,180.0,top,D1,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
133.1976,-102.1334,180.0,top,D10,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
141.57612,-102.1334,0.0,top,D11,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Red_LED,smt
141.53134,-107.35818,0.0,top,D12,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Red_LED,smt
115.09248,-117.47246,180.0,top,D13,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Blue_LED,smt
128.99898,-117.47246,180.0,top,D14,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Blue_LED,smt
150.65248,-117.47246,0.0,top,D15,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Yellow_LED,smt
155.95346,-117.47246,180.0,top,D16,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Yellow_LED,smt
108.6866,-104.902,90.0,top,D17,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Blue_LED,smt
118.2116,-104.902,90.0,top,D18,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Blue_LED,smt
119.410842,-112.4839,180.0,top,D2,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
124.864584,-112.4839,180.0,top,D3,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
130.318326,-112.4839,180.0,top,D4,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
135.772068,-112.4839,180.0,top,D5,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
141.22581,-112.4839,180.0,top,D6,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
146.679552,-112.4839,180.0,top,D7,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
152.1333,-112.4839,180.0,top,D8,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
127.3937,-102.1334,180.0,top,D9,,,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Green_LED,smt
162.5092,-109.1819,0.0,top,R1,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10K,smt
162.44694,-103.9495,0.0,top,R10,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,47k,smt
103.89,-106.37,180.0,top,R11,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
114.95,-114.8334,0.0,top,R12,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
119.8753,-114.8334,180.0,top,R13,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
124.7775,-114.8334,180.0,top,R14,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
131.0767,-114.8334,180.0,top,R15,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
135.42,-114.8334,180.0,top,R16,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
137.541,-100.965,90.0,top,R17,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
150.3553,-114.8461,0.0,top,R18,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
140.081,-98.5393,90.0,top,R19,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
162.5092,-112.8522,0.0,top,R2,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10K,smt
157.2895,-114.5794,0.0,top,R20,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
121.04,-117.46,0.0,top,R21,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
103.89,-104.15,180.0,top,R22,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
145.9738,-97.663,0.0,top,R3,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22,smt
156.8323,-112.4839,0.0,top,R4,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
131.5974,-98.1456,0.0,top,R5,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
140.716,-104.902,0.0,top,R6,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
141.0716,-116.19106,90.0,top,R7,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
162.5092,-116.5225,0.0,top,R8,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160,smt
162.44694,-106.1847,0.0,top,R9,,,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,47k,smt
113.4491,-104.9245,-90.0,top,U1,BME680,,BME680,BME680,smt
105.7656,-113.0554,0.0,top,U2,,,SOIC-16_3.9x9.9mm_P1.27mm,74HC595,smt
153.0096,-104.9274,0.0,top,U3,AMG8833,,SMD-14_Grideye,AMG8833,smt
